analysis_drug_name,model_label,faers_signal_class,final_rf_prob_positive,selection_reason,atom_index,atom_symbol,atom_shap_contribution,abs_atom_shap_contribution,heatmap_svg,heatmap_png
PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative,3,C,-0.0059074828966333304,0.0059074828966333304,output_interpretation_selected/heatmaps_svg/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.png
PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative,4,C,-0.0005453319987007503,0.0005453319987007503,output_interpretation_selected/heatmaps_svg/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.png
PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative,5,C,-0.0037891255019935977,0.0037891255019935977,output_interpretation_selected/heatmaps_svg/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.png
PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative,6,C,-0.003255623904322078,0.003255623904322078,output_interpretation_selected/heatmaps_svg/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.png
PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative,7,C,-0.0037891255019935977,0.0037891255019935977,output_interpretation_selected/heatmaps_svg/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.png
PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative,8,C,-0.0005453319987007503,0.0005453319987007503,output_interpretation_selected/heatmaps_svg/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.png
PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative,9,O,0.012037156158146909,0.012037156158146909,output_interpretation_selected/heatmaps_svg/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.png
PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative,10,N,-0.008167851791441128,0.008167851791441128,output_interpretation_selected/heatmaps_svg/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.png
PSEUDOEPHEDRINE,0,negative_expanded,0.5659875605285,high_prob_negative,11,C,-0.008206973713784552,0.008206973713784552,output_interpretation_selected/heatmaps_svg/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/PSEUDOEPHEDRINE__label0__p0.57__high_prob_negative.png
MESALAMINE,0,negative_expanded,0.5634329280443543,high_prob_negative,0,C,-0.002762511220035479,0.002762511220035479,output_interpretation_selected/heatmaps_svg/MESALAMINE__label0__p0.56__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/MESALAMINE__label0__p0.56__high_prob_negative.png
