roc_auc,pr_auc,balanced_accuracy,accuracy,sensitivity,specificity,precision,f1,mcc,brier,tn,fp,fn,tp,threshold,model,fold,split_method,threshold_type,n_train,n_test,n_train_pos,n_test_pos,n_train_scaffolds,n_test_scaffolds
0.65,0.7090423017842372,0.6,0.58,0.5,0.7,0.7142857142857143,0.5882352941176471,0.19851666679418595,0.2759288015280375,2.0,1.0,3.0,2.0,0.5,logistic_l2,34,StratifiedGroupKFold,fixed_0.5,98,8,54,5,78,8
0.65,0.7090423017842372,0.5,0.4,0.0,1.0,0.0,0.0,0.0,0.2759288015280375,3.0,0.0,5.0,0.0,0.9814504525689942,logistic_l2,34,StratifiedGroupKFold,train_youden,98,8,54,5,78,8
0.7482142857142857,0.7263915749261888,0.6491071428571429,0.66,0.8125,0.4857142857142858,0.6435643564356436,0.718232044198895,0.3172223154225954,0.2092781919512277,4.0,5.0,3.0,10.0,0.5,logistic_l2,35,StratifiedGroupKFold,fixed_0.5,84,22,46,13,66,20
0.7482142857142857,0.7263915749261888,0.4571428571428572,0.4266666666666666,0.0,0.9142857142857144,0.0,0.0,-0.21821789023599245,0.2092781919512277,8.0,1.0,13.0,0.0,0.9786990350216868,logistic_l2,35,StratifiedGroupKFold,train_youden,84,22,46,13,66,20
0.5521978021978021,0.7236839026209152,0.5576923076923077,0.5491803278688524,0.5,0.6153846153846155,0.6363636363636365,0.56,0.1146779319503155,0.33446675663602793,4.0,3.0,7.0,6.0,0.5,logistic_l2,36,StratifiedGroupKFold,fixed_0.5,86,20,46,13,67,19
0.5521978021978021,0.7236839026209152,0.5714285714285714,0.5081967213114753,0.14285714285714285,1.0,1.0,0.25,0.2575393768188566,0.33446675663602793,7.0,0.0,12.0,1.0,0.9783126771376078,logistic_l2,36,StratifiedGroupKFold,train_youden,86,20,46,13,67,19
0.5332640332640333,0.4871200329504455,0.6777546777546778,0.6618705035971224,0.9230769230769231,0.4324324324324325,0.5882352941176472,0.7185628742514972,0.4013494057564546,0.30597452009645054,5.0,7.0,1.0,8.0,0.5,logistic_l2,37,StratifiedGroupKFold,fixed_0.5,85,21,50,9,78,8
0.5332640332640333,0.4871200329504455,0.4594594594594595,0.4892086330935251,0.0,0.918918918918919,0.0,0.0,-0.19906303588981866,0.30597452009645054,11.0,1.0,9.0,0.0,0.9794543857684955,logistic_l2,37,StratifiedGroupKFold,train_youden,85,21,50,9,78,8
0.6919642857142857,0.8292425810683467,0.6383928571428572,0.6249999999999999,0.5625,0.7142857142857144,0.7377049180327869,0.6382978723404256,0.27389690761876556,0.2519210203728157,5.0,2.0,6.0,7.0,0.5,logistic_l2,38,StratifiedGroupKFold,fixed_0.5,86,20,46,13,67,19
0.6919642857142857,0.8292425810683467,0.53125,0.44852941176470573,0.0625,1.0,1.0,0.11764705882352941,0.16345506187300646,0.2519210203728157,7.0,0.0,12.0,1.0,0.9787886710257353,logistic_l2,38,StratifiedGroupKFold,train_youden,86,20,46,13,67,19
