scenario,split_type,threshold_type,metric,n,mean,sd,median,q025,q975
exclude_broad_treatment_all,scaffold,fixed_0.5,balanced_accuracy,100,0.6455903917723065,0.11007522883655488,0.6461693548387097,0.44042613636363637,0.8241122159090907
exclude_broad_treatment_all,scaffold,fixed_0.5,accuracy,100,0.6303434786905007,0.11207979387443939,0.6350135013501348,0.4030291297935103,0.8150481160206017
exclude_broad_treatment_all,scaffold,fixed_0.5,sensitivity,100,0.677919448845078,0.1942379558796171,0.6666666666666666,0.3127450980392157,1.0
exclude_broad_treatment_all,scaffold,fixed_0.5,specificity,100,0.6132613346995348,0.2077744355983483,0.6162029459901801,0.26204710144927545,1.0
exclude_broad_treatment_all,scaffold,fixed_0.5,precision,100,0.6308966894985952,0.18847352562809258,0.6350832266325226,0.2847628330084471,1.0
exclude_broad_treatment_all,scaffold,fixed_0.5,f1,100,0.6261285181588822,0.14023311427982585,0.6411009174311927,0.3572113847137833,0.8404109589041093
exclude_broad_treatment_all,scaffold,fixed_0.5,mcc,100,0.301161204693457,0.2217137315429122,0.2999962330028125,-0.11520484817941243,0.6454871457332667
exclude_broad_treatment_all,scaffold,fixed_0.5,brier,100,0.2299704671689079,0.02197773009658734,0.22796618084175918,0.18287340554019096,0.27023855898934435
exclude_broad_treatment_all,scaffold,train_youden,roc_auc,100,0.7060395442185822,0.12149675088032333,0.7038203065317035,0.4562179487179487,0.9396969696969696
exclude_broad_treatment_all,scaffold,train_youden,pr_auc,100,0.7320582843178641,0.13929784139163875,0.7426311628494151,0.46755185474881444,0.9524185670959863
exclude_broad_treatment_all,scaffold,train_youden,balanced_accuracy,100,0.6586915645253272,0.09639613117893316,0.6539938556067588,0.4680944843977298,0.8587499999999999
exclude_broad_treatment_all,scaffold,train_youden,accuracy,100,0.6626100851532781,0.08842302131771554,0.6544817556848228,0.5,0.8340564738292011
exclude_broad_treatment_all,scaffold,train_youden,sensitivity,100,0.6315016508539695,0.20151994317576621,0.6306818181818181,0.23541666666666666,1.0
exclude_broad_treatment_all,scaffold,train_youden,specificity,100,0.6858814781966852,0.1923371400427299,0.7,0.330043103448276,1.0
exclude_broad_treatment_all,scaffold,train_youden,precision,100,0.6672802618978889,0.1756950873813024,0.6591360476663358,0.37771118721461194,1.0
exclude_broad_treatment_all,scaffold,train_youden,f1,100,0.6241529200996434,0.14892001427782747,0.6417821782178219,0.2757936507936508,0.8608465608465607
exclude_broad_treatment_all,scaffold,train_youden,mcc,100,0.3276416877005646,0.19703556994544982,0.3214123464634475,-0.06600177598091,0.7112089063803364
exclude_broad_treatment_all,scaffold,train_youden,brier,100,0.2299704671689079,0.02197773009658734,0.22796618084175918,0.18287340554019096,0.27023855898934435
exclude_core_treatment_all,random,fixed_0.5,roc_auc,100,0.7376586007481627,0.09541083328910673,0.7431899641577061,0.56005355276907,0.8932291666666666
exclude_core_treatment_all,random,fixed_0.5,pr_auc,100,0.7653919057805604,0.09174002900332386,0.7696951325747865,0.5968850108743534,0.9115626557754677
exclude_core_treatment_all,random,fixed_0.5,balanced_accuracy,100,0.6727267507468649,0.09422644609706839,0.6797080607564479,0.49318181818181817,0.8565603514132925
exclude_core_treatment_all,random,fixed_0.5,accuracy,100,0.6713996582083839,0.09332266080057189,0.6795384064885496,0.49395750988142295,0.8539570607258353
exclude_core_treatment_all,random,fixed_0.5,sensitivity,100,0.7219477189477189,0.15011035714566714,0.75,0.4166666666666667,0.9634615384615378
exclude_core_treatment_all,random,fixed_0.5,specificity,100,0.6235057825460113,0.16704799537681256,0.6216216216216217,0.31231671554252205,0.9580882352941169
exclude_core_treatment_all,random,fixed_0.5,precision,100,0.6593590555138181,0.11643641607650942,0.6470588235294119,0.48687539531941815,0.9532786885245893
exclude_core_treatment_all,random,fixed_0.5,f1,100,0.6787764739083234,0.09995963241333129,0.6976744186046513,0.4670161642638707,0.8475729105500097
exclude_core_treatment_all,random,fixed_0.5,mcc,100,0.3565439829837186,0.1926700783407223,0.37626803048761387,-0.013730300661787622,0.7138710396898387
exclude_core_treatment_all,random,fixed_0.5,brier,100,0.21993160989875057,0.017366410271713616,0.22061521813170715,0.18689921125325876,0.25451857772744196
exclude_core_treatment_all,random,train_youden,roc_auc,100,0.7376586007481627,0.09541083328910673,0.7431899641577061,0.56005355276907,0.8932291666666666
exclude_core_treatment_all,random,train_youden,pr_auc,100,0.7653919057805604,0.09174002900332386,0.7696951325747865,0.5968850108743534,0.9115626557754677
exclude_core_treatment_all,random,train_youden,balanced_accuracy,100,0.6847571286947494,0.09016146507926057,0.6920424403183023,0.5213168551878229,0.8222776610644257
exclude_core_treatment_all,random,train_youden,accuracy,100,0.6844377148447229,0.09050067241551513,0.6925433806576872,0.5142951497087116,0.8202728713768115
exclude_core_treatment_all,random,train_youden,sensitivity,100,0.6540220196470196,0.16156367271021832,0.6794871794871795,0.3333333333333333,0.9166666666666666
